OBJECTID,NAME,DESCRIPTION,COMMENTS,GLOBALID,CREATED_DA,LAST_EDI_1,SHAPE_AREA,SHAPE_LEN
108,DOG EXERCISE AREAS,FEDERATION WALK COSTAL RESERVE,SEAWORLD DRIVE SURFERS PARADISE,{F292E1D7-D4F6-4BA4-B1A4-63A782F9394C},,18/08/2014,102179.1524,3550.527541
83,DOG EXERCISE AREAS,RUNAWAY BAY LIONS PARK,LIMETREE PARADE RUNAWAY BAY,{DCC2B5C4-F427-4451-9500-25C04952D65D},,18/08/2014,46623.33922,1068.551003
1606,DOG EXERCISE AREAS,SALTWATER PARK,HELENSVALE ROAD HOPE ISLAND,{4F82F3FE-866B-4701-929A-7E527F9417AA},5/08/2014,18/08/2014,17100.30071,722.4336079
1605,DOG EXERCISE AREAS,SAMFORD COURT RESERVE,SAMFORD COURT HELENSVALE,{A4B5AF13-F791-475D-A6F8-414F19AA3320},5/08/2014,18/08/2014,25061.37165,777.403097
30,DOG EXERCISE AREAS,ROBINA PARKWAY PARK,ROBINA PARKWAY CLEAR ISLAND WATERS,{8375D765-3AE2-4C58-B788-BBE5CF85A01F},,18/08/2014,84246.12525,2781.011983
100,DOG EXERCISE AREAS,MYALL PARK,,{707AE74B-93FE-4A77-88DE-B29F54FFBB16},,,5287.707975,377.839676
101,DOG EXERCISE AREAS,NEDDY HARPER & WILLIAM DUNCAN PARK,,{7AA2EB91-93F8-47C3-A624-B39188C1AB79},,,11783.47108,464.0420636
103,DOG EXERCISE AREAS,OBSERVATORY ESTATE,BARDEN RIDGE ROAD,{7407E49E-CAC6-4DB9-868D-C9A784EECA6C},,,9505.896238,466.3464082
106,DOG EXERCISE AREAS,PARADISE WATERS PARK,,{73BC9CE0-EBFD-4431-828B-DF6E2306C882},,,16116.21877,531.9735872
109,DOG EXERCISE AREAS,PERCY PEASE MEMORIAL PARK,,{6183F179-C781-42BA-935B-9CF8A801F515},,,2535.437653,218.9068403
111,DOG EXERCISE AREAS,PRATTEN PARK,,{5D910A28-2B21-4127-A74D-987A715188B1},,,91490.9273,2063.151957
112,DOG EXERCISE AREAS,RAETZ PARK,,{1D38EAEC-5967-46FA-9E13-C0B4E40FD159},,,12402.60802,581.6922859
126,DOG EXERCISE AREAS,RUNAWAY BAY SPORTS,RUNAWAY BAY,{4666C161-3860-4433-BDD6-F7FE7DD723FF},,18/08/2014,9785.837262,450.6416847
124,DOG EXERCISE AREAS,SALK OVAL PARKLANDS,"SARAWAK AVENUE PALM BEACH
SARAWAK AVENUE PALM BEACH
SARAWAK AVENUE PALM BEACH",{D6ECD5C4-EE22-486F-BEB7-003CFFDC6F9D},,18/08/2014,72848.55783,1233.638095
